"module"	"tf"	"color"	"odds_ratio"	"pval"	"fdr"	"Significance"	"Jaccard"	"size_intersection"
"HEY2"	"yellow"	"HEY2"	"yellow"	2.24918615879752	0.00415601482560294	0.00771480450363867	"**"	0.00719748088169141	16
"HINFP"	"yellow"	"HINFP"	"yellow"	2.88716659034958	2.19898984778336e-05	6.35216428440034e-05	"***"	0.00883327199116673	24
"HNF1A"	"yellow"	"HNF1A"	"yellow"	2.16219610794684	9.81705537704643e-05	0.000255731935793161	"***"	0.00649566955363091	39
"HNF1B"	"yellow"	"HNF1B"	"yellow"	1.58436071282301	0.0410006676663442	0.05872137860157	""	0.00526052104208417	21
"HOXC11"	"yellow"	"HOXC11"	"yellow"	1.68376457244475	0.101496448413694	0.130404909393526	" "	0.00548780487804878	9
"HSF1"	"yellow"	"HSF1"	"yellow"	1.9720057898484	0.00402643599655027	0.00750018646082555	"**"	0.00633783411408101	23
"IRF8"	"yellow"	"IRF8"	"yellow"	0.938902161031285	0.625570279925531	0.653248357642738	" "	0.00331766657450926	12
"IRF9"	"yellow"	"IRF9"	"yellow"	2.00989614531464	0.000656587009886492	0.00144968970588331	"**"	0.00623281393217232	34
"ISX"	"yellow"	"ISX"	"yellow"	0.710400237848384	0.842572592090343	0.85707742110025	" "	0.00249272953884504	6
"JDP2"	"yellow"	"JDP2"	"yellow"	1.43905581739533	0.131289999928332	0.16308133836547	" "	0.00484596746278989	14
"JDP2(var.2)"	"yellow"	"JDP2(var.2)"	"yellow"	1.70370998631877	0.0639167993562523	0.086380312173486	""	0.00561009817671809	12
"KLF13"	"yellow"	"KLF13"	"yellow"	2.18896060220098	0.000992393756680786	0.00211370661665629	"**"	0.00692440854010387	24
"LHX6"	"yellow"	"LHX6"	"yellow"	1.45646263298659	0.167901160137927	0.203211138451258	" "	0.00485201358563804	10
"MEF2B"	"yellow"	"MEF2B"	"yellow"	2.18851857517056	1.15127758582085e-05	3.50016537553683e-05	"***"	0.00606782966735291	56
"MEOX1"	"yellow"	"MEOX1"	"yellow"	1.51825620098647	0.11715886941316	0.147851742620808	" "	0.00506542845082313	12
"MIXL1"	"yellow"	"MIXL1"	"yellow"	1.433191596512	0.125462411367031	0.156808308070877	" "	0.00483247422680412	15
"MLX"	"yellow"	"MLX"	"yellow"	1.36417798386114	0.266579279732119	0.306717783196701	" "	0.00448717948717949	7
"MLXIPL"	"yellow"	"MLXIPL"	"yellow"	0.628295852042288	0.853603977312153	0.866526371253432	" "	0.00210526315789474	3
"MSC"	"yellow"	"MSC"	"yellow"	2.74702859005711	4.60194976800073e-06	1.48778094341432e-05	"***"	0.00819672131147541	32
"MSX1"	"yellow"	"MSX1"	"yellow"	1.34478486951919	0.228861004632722	0.267602365918512	" "	0.00452079566003617	10
"MYF6"	"yellow"	"MYF6"	"yellow"	2.25185536726252	0.00105830589914665	0.00224288693398693	"**"	0.00713590658449562	22
"NEUROD2"	"yellow"	"NEUROD2"	"yellow"	0.901989940852593	0.648398289298645	0.674976624896967	" "	0.00297397769516729	4
"NEUROG2"	"yellow"	"NEUROG2"	"yellow"	1.50195755881222	0.162491235862957	0.19722344836895	" "	0.00496141124586549	9
"NFIA"	"yellow"	"NFIA"	"yellow"	1.79803506258274	0.015439263832473	0.0247825515202256	"*"	0.00588062334607468	20
"NFIX"	"yellow"	"NFIX"	"yellow"	2.18398912928718	0.00151396924730341	0.00310707306324167	"**"	0.00694663719608462	22
"NHLH1"	"yellow"	"NHLH1"	"yellow"	1.9615268769182	0.00157828882964933	0.00322576292306411	"**"	0.00618811881188119	30
"NKX2-3"	"yellow"	"NKX2-3"	"yellow"	1.88677041652437	0.011489298128142	0.0191050797516722	"*"	0.00614290333010023	19
"NKX2-8"	"yellow"	"NKX2-8"	"yellow"	1.48730613543393	0.0879471212660476	0.114708471188722	" "	0.00499412455934195	17
"NKX6-1"	"yellow"	"NKX6-1"	"yellow"	1.25773550163346	0.25716833728216	0.297092651355	" "	0.00429752066115702	13
"NKX6-2"	"yellow"	"NKX6-2"	"yellow"	0.728225995093541	0.850293723571099	0.863606695417345	" "	0.00259824618382592	8
"Nr2e1"	"yellow"	"Nr2e1"	"yellow"	1.32266106963871	0.137743727653417	0.170374003447791	" "	0.00450009782821366	23
"Nr2f6"	"yellow"	"Nr2f6"	"yellow"	2.21636963648781	0.000191025447734648	0.000466655698763971	"***"	0.00681721346399659	32
"OLIG2"	"yellow"	"OLIG2"	"yellow"	0.164447884407169	0.997477740962808	0.999151923139651	" "	0.000575043128234618	1
"PAX4"	"yellow"	"PAX4"	"yellow"	1.0459826027159	0.516130382748879	0.551031507020628	" "	0.00351082504388531	6
"PAX7"	"yellow"	"PAX7"	"yellow"	0.646462260242441	0.88062657676847	0.891531706557122	" "	0.00226142017186793	5
"POU4F2"	"yellow"	"POU4F2"	"yellow"	2.20899290863766	4.96651289165108e-05	0.000137159412019314	"***"	0.00655475619504396	41
"Rxra"	"yellow"	"Rxra"	"yellow"	1.89472062682181	0.00413833624867477	0.00768676960226922	"**"	0.00607760635811127	26
"SP4"	"yellow"	"SP4"	"yellow"	4.47229298824108	2.2203674408781e-17	2.0867957302615e-16	"***"	0.00866133099440851	79
"SPDEF"	"yellow"	"SPDEF"	"yellow"	1.59278276853281	0.114427228246628	0.144713222753947	" "	0.00525210084033613	10
"SPIC"	"yellow"	"SPIC"	"yellow"	2.25131151832546	1.96836413946999e-05	5.73313674199946e-05	"***"	0.00653784686909778	45
"SRF"	"yellow"	"SRF"	"yellow"	1.58058265094503	0.11843303663623	0.149202190076386	" "	0.00521648408972353	10
"TBXT"	"yellow"	"TBXT"	"yellow"	2.09889458882946	0.0223304181465809	0.0342503046771511	"*"	0.00672782874617737	11
"TBX2"	"yellow"	"TBX2"	"yellow"	1.43984736291061	0.0895821965423032	0.116577965321515	" "	0.00484848484848485	20
"TBX20"	"yellow"	"TBX20"	"yellow"	1.84410365341565	0.0063991779541542	0.0113661589376167	"*"	0.00595238095238095	25
"TBX21"	"yellow"	"TBX21"	"yellow"	2.09272600214752	0.00103151082820105	0.00219154739149302	"**"	0.00660146699266504	27
"TFAP4"	"yellow"	"TFAP4"	"yellow"	1.88815706183733	0.0114132902722326	0.0190051663908159	"*"	0.00614687803299903	19
"TFCP2"	"yellow"	"TFCP2"	"yellow"	3.57828631343872	5.98574840012102e-05	0.000163118476949417	"***"	0.0108381502890173	15
"TFEB"	"yellow"	"TFEB"	"yellow"	1.81408517192784	0.0381983791212222	0.0551653562047359	""	0.00594149908592322	13
"ZBTB7B"	"yellow"	"ZBTB7B"	"yellow"	2.94719083380504	1.61366704637954e-05	4.76514840811139e-05	"***"	0.00899550224887556	24
"ZBTB7C"	"yellow"	"ZBTB7C"	"yellow"	2.7866978301444	1.48088355908972e-05	4.41454199832539e-05	"***"	0.00847191716347662	27
"ZIC1"	"yellow"	"ZIC1"	"yellow"	3.28530823727439	3.62464077440544e-09	1.73069850952424e-08	"***"	0.00902792357757716	43
"ZIC3"	"yellow"	"ZIC3"	"yellow"	3.71860838932953	3.13007007024235e-11	1.77064058570676e-10	"***"	0.00977944236371203	47
"ZBTB18"	"yellow"	"ZBTB18"	"yellow"	1.76459821985114	0.00509482953210081	0.00925599471767964	"**"	0.00562983814215341	32
"LBX2"	"yellow"	"LBX2"	"yellow"	1.24823101250673	0.297109001893436	0.337870907641011	" "	0.00423190859077444	10
"Lhx4"	"yellow"	"Lhx4"	"yellow"	1.00025028350083	0.551336980889546	0.583918207976719	" "	0.00343938091143594	8
"Lhx8"	"yellow"	"Lhx8"	"yellow"	1.55878799397182	0.11351912508002	0.143656093824758	" "	0.00517160319699107	11
"MEOX2"	"yellow"	"MEOX2"	"yellow"	1.72977015930958	0.0217038715030519	0.0334353911022752	"*"	0.00568504832291074	20
"MNX1"	"yellow"	"MNX1"	"yellow"	1.61486810701845	0.0250056202779796	0.0377138089004251	"*"	0.0053134962805526	25
